created,text,retweet_count,followers
2017-10-29T21:32:58.000Z,I though the RTH close on $MSFT most interesting... (quite aware of the gap from the thursday close),0,2267
2017-10-30T06:09:59.000Z,RT @financialbuzz: Watch Us Report LIVE from the Floor of the NYSE! This weeks weekly wrap-up includes $AMZN $GOOGL $MSFT $CMG $TWTR https:…,27,8
2017-10-30T06:10:54.000Z,"$GOOG, $MSFT fff",0,9
2017-10-30T06:19:38.000Z,Microsoft Corporation's PT raised by Stifel Nicolaus to $90.00. buy rating. https://t.co/MMP8QF76Jg $MSFT #MSFT,0,6898
2017-10-30T06:21:37.000Z,Microsoft Corporation $MSFT Given New $90.00 Price Target at Stifel Nicolaus https://t.co/NEojbx4vgv,0,1124
2017-10-30T06:23:28.000Z,Microsoft Corporation's PT raised by Stifel Nicolaus to $90.00. buy rating. https://t.co/1EpE76udj8 $MSFT #MSFT,0,5017
2017-10-30T06:24:06.000Z,RT @VistaPResearch: @tonipatillo tx for follow! See Vista Partners Coverage #Investing #Dow30 https://t.co/1x6MLaGp0d $AAPL $MSFT $UNH… ,29,46579
2017-10-30T06:25:17.000Z,RT @financialbuzz: Watch Us Report LIVE from the Floor of the NYSE! This weeks weekly wrap-up includes $AMZN $GOOGL $MSFT $CMG $TWTR https:…,27,6
2017-10-30T06:26:30.000Z,Microsoft Corporation's PT raised by Stifel Nicolaus to $90.00. buy rating. https://t.co/0TKkJFXpHv $MSFT #MSFT,0,5574
2017-10-30T06:39:55.000Z,Track curated news and tweets for multiple tickers - US Tech Giants https://t.co/J74uV6qAnD $AAPL $GOOG $MSFT $FB,0,1140
2017-10-30T06:50:00.000Z,"Access curated tweets- high relevancy, less spam - US Tech Giants https://t.co/J74uV6qAnD $AAPL $GOOG $MSFT $FB",0,1140
2017-10-30T06:55:47.000Z,Microsoft Corporation $MSFT versus Everbridge $EVBG Critical Survey https://t.co/I2iznGLtyq,0,198
