created,text,retweet_count,followers
2017-10-30T14:36:33.000Z,Learn this technique and animate your sprites! Rotoscoping and pixel art - Tutorial https://t.co/StTPOwJKoE #pixel #pixelart #gamedev,0,1499
2017-10-30T14:41:55.000Z,"It's coming along...
.
.
.
.
#pixel #pixelstrip #lightcorporation #lightrevolution #lightcorp… https://t.co/vVbrgNXq3f",0,1240
2017-10-30T14:42:32.000Z,"""Empty""  by Paulo M. F. Pires© #photography #camera #pixel #main_vision #global_hotshotz… https://t.co/3pYEZf2Mxx",0,104
2017-10-30T14:43:04.000Z,"@google #TeamPixel What's with this ""Fatal Error"" on the Pixel 2 camera? Keeps happening no matter what. #FatalError #pixel2",0,44
2017-10-30T14:47:25.000Z,"""Empty"" by Paulo M. F. Pires© #photography #camera #pixel #main_vision #global_hotshotz… https://t.co/fR50EHUuab",0,104
2017-10-30T15:03:11.000Z,"#AndroidAuto is crashing randomly for many #Pixel2 and #Pixel2XL owners 
#android #google #pixel… https://t.co/Mgwd5Lt8xa",0,232
2017-10-30T15:08:50.000Z,"#Pixel2, #Pixel2XL Facing Audio Issues While Recording Video, Some Users Report
#AndroidDev #pixelart #gamedev 
https://t.co/HMJkslrKwd",0,150
2017-10-30T15:17:04.000Z,"My desk plant

#nofilter #unedited #teampixel #pixel2 #succulents https://t.co/TUEQblI3YU https://t.co/9OeKz8Lavv",0,0
2017-10-30T15:22:00.000Z,"Go for a #pixel2 or wait for the #iphone8? I so want to change from iphones, but display issues on #pixel2 seem like a gamble",0,997
2017-10-30T15:36:39.000Z,That macro #pixel2 https://t.co/IhpdAE11Tp,0,125
2017-10-30T15:39:03.000Z,"He is so cute that it will be hard to fight with him

#gamedev #pixelart  #screenshot #indiedev #catmaze #pixel https://t.co/g9EAyCEcyh",0,2349
2017-10-30T15:42:13.000Z,Clicking Noises In Pixel 2 Is Being Fixed In An Upcoming Update #android #androidnews #pixel2… https://t.co/c0Tq1ZgTG1,0,9474
2017-10-30T15:47:46.000Z,Merchandising link in bio 😳😳 #pixelart #pixelgraphics #pixel #graphicdesign #design #landscape… https://t.co/ykywpd37dn,0,64
2017-10-30T15:48:31.000Z,"I think all pens should be this beautiful

#nofilter #unedited #teampixel #pixel2 https://t.co/bRiFVqxWjE https://t.co/T4mpvGsJ6O",0,0
2017-10-30T15:50:03.000Z,"RedBlackSpade: He is so cute that it will be hard to fight with him#gamedev #pixelart  #screenshot #indiedev #catm… https://t.co/pQvuiurNgd He is so cute that it will be hard to fight with him

#gamedev #pixelart  #screenshot #indiedev #catmaze #pixel https://t.co/g9EAyCEcyh",0,3685
2017-10-30T15:55:39.000Z,"@ChimneySwift11 @ScienceChannel Shot it on my #pixel actually. I don't get a ""real cam"" in these trips, but I wante… https://t.co/6taDFO3Z38",0,9046
2017-10-30T15:57:15.000Z,"#dotpict #pixelart #Pixel 
Umm.. Not bad!..:D.. https://t.co/AjBsDkyfIX",0,2
2017-10-30T15:58:06.000Z,"Made some simple tiles for my bro 
#pixel https://t.co/Bl6PhblYnT",0,4
2017-10-30T16:10:21.000Z,Outland - Amiga 500 pixel-art #pixel #pixelart #pixel_dailies #art #games https://t.co/3uBmsxDXAI https://t.co/0kZJKscVsi,0,886
2017-10-30T16:19:20.000Z,With all these #Pixel2 and #pixel2xl problems it sounds like we could use a return of the #nexus lineup,0,15
2017-10-30T16:43:02.000Z,Everyday I grow more and more shocked at hour bad the @Google #pixel is as a phone. Wow. It's bad.,0,454
2017-10-30T17:10:32.000Z,"Rigid  LED Pixel Bar ,  Length 1 meter.
  
#led #ledmapping #pixel #pixels #ledpixel #Matrix… https://t.co/7AwtZiCevs",0,280
2017-10-30T17:10:42.000Z,"Just wow ! Impressed by @Google lens 
#pixel #preview https://t.co/GZU0k9GZWW",0,31
2017-10-30T17:15:02.000Z,Check out why one person can't put his Pixel down. #google #pixel #smartphone #camera #infomax #IT #managedservices… https://t.co/kSLSkcPHQR,0,549
2017-10-30T17:24:54.000Z,"I don't know if I should take a break from comissions and focus on some exercises for fun. 🤷
#art #pixelart… https://t.co/ObfZwgYIKX",0,169
2017-10-30T17:25:16.000Z,@MKBHD Went running yesterday. Used squeeze feature and told assistant to play next/previous song as phone was tied to my arm band. #pixel2,0,268
2017-10-30T17:28:45.000Z,"@MKBHD @AndroidDev 
I tried trusted face and it works perfectly for me. Wasn't fooled by my picture. #pixel2 https://t.co/MKuqU24PSd",0,268
2017-10-30T17:30:51.000Z,"Life Nexus ka phone hogyi hai...
Or problems Android...
Update aate hi Jaa rahe hai...

#nexus #pixel #oreo",0,1482
2017-10-30T17:36:59.000Z,I’m perplexed that @madebygoogle Pixel 1 is out of stock in all variations. I get #Pixel2 being sold out but not last year’s  #pixel  🤔,0,62
2017-10-30T17:44:04.000Z,Our video on How To Fix The #Google #Pixel2XL Display #pixel2 #mobile @madebygoogle @GooglePixels @google https://t.co/c4pXBY4Fuk,0,1047
2017-10-30T17:59:07.000Z,@xdadevelopers That preview doesn't install on my #pixel just keeps retrying and failing in a loop,0,565
2017-10-30T18:15:52.000Z,Multi-platform SCIFI BETA #starkinesis - https://t.co/h9hxiGYs7z About time! #pixel #androiddev #apps https://t.co/DEIkmOiKnW,0,335
2017-10-30T18:16:15.000Z,Rainbow - Weather https://t.co/lvWyp6TqPB #exposure #pixel https://t.co/POOlQ84eT1,0,15057
2017-10-30T18:20:28.000Z,The #pixel2 camera is ridiculous. https://t.co/tmvRx6Y77P https://t.co/1pyWUG7vrK,0,168
2017-10-30T18:22:53.000Z,@AndroidAuth which usb-c earbuds will let me take calls on a #pixel2 and not break the bank?,0,376
2017-10-30T18:26:39.000Z,#tech #summary:  #google’s  #pixel 2 xl also appears to suffer from poor  #audio recording  #quality https://t.co/2edTLLt7kW,0,754
2017-10-30T18:26:39.000Z,#news #summary:  #google’s  #pixel 2 xl also appears to suffer from poor  #audio recording  #quality https://t.co/ZuNHy83E6o,0,1620
2017-10-30T18:26:41.000Z,#news #summary:  #google’s  #pixel 2 xl also appears to suffer from poor  #audio recording  #quality https://t.co/1upDBDkupj,0,1620
2017-10-30T18:28:05.000Z,looks like the #pixel2 and #pixel2XL are keeping Google's dream of being a real competitor alive,0,5330
