Company,Date,UnixTS,Retweets,Followers,Sentiments
AMZN,2016-06-15,1465983900,0,343,Neutral
AMZN,2016-06-15,1465983300,0,5622,Neutral
AMZN,2016-06-15,1465982760,1,1198,Neutral
AMZN,2016-06-15,1465982460,0,153,Neutral
AMZN,2016-06-15,1465980780,0,153,Neutral
AMZN,2016-06-15,1465979940,1,377,Neutral
AMZN,2016-06-15,1465979820,0,99,Neutral
AMZN,2016-06-15,1465979460,0,153,Neutral
AMZN,2016-06-15,1465979100,0,771,Negative
AMZN,2016-06-15,1465978740,0,301,Neutral
AMZN,2016-06-15,1465978320,1,215,Neutral
AMZN,2016-06-15,1465978320,0,58,Neutral
AMZN,2016-06-15,1465977420,0,1617,Neutral
AMZN,2016-06-15,1465976160,0,71,Neutral
AMZN,2016-06-15,1465975920,0,58,Positive
AMZN,2016-06-15,1465974900,2,28145,Neutral
AMZN,2016-06-15,1465973580,0,8,Neutral
AMZN,2016-06-15,1465973460,0,63,Neutral
AMZN,2016-06-15,1465973100,2,49,Neutral
AMZN,2016-06-15,1465972620,2,241,Neutral
AMZN,2016-06-15,1465972020,0,70,Positive
AMZN,2016-06-15,1465970820,0,129,Neutral
AMZN,2016-06-15,1465970760,0,1589,Negative
AMZN,2016-06-15,1465970040,0,153,Positive
AMZN,2016-06-15,1465969500,0,127,Neutral
AMZN,2016-06-15,1465969320,3,16400,Negative
AMZN,2016-06-15,1465969140,1,58,Neutral
AMZN,2016-06-15,1465969200,1,967,Neutral
AMZN,2016-06-15,1465968360,1,289,Neutral
AMZN,2016-06-15,1465968360,2,289,Neutral
AMZN,2016-06-15,1465968000,0,2964,Neutral
AMZN,2016-06-15,1465966320,0,,Neutral
AMZN,2016-06-15,1465965240,0,210,Neutral
AMZN,2016-06-15,1465964100,0,60,Neutral
AMZN,2016-06-15,1465963620,2,1198,Neutral
AMZN,2016-06-15,1465963500,1,28142,Neutral
AMZN,2016-06-15,1465963080,1,1975,Neutral
AMZN,2016-06-15,1465963080,1,848,Neutral
AMZN,2016-06-15,1465962360,0,343,Neutral
AMZN,2016-06-15,1465962060,8,46,Neutral
AMZN,2016-06-15,1465962000,1,979,Neutral
AMZN,2016-06-15,1465962000,4,259,Neutral
AMZN,2016-06-15,1465962000,1,1025,Neutral
AMZN,2016-06-15,1465961820,1,626,Neutral
AMZN,2016-06-15,1465961820,0,99,Neutral
AMZN,2016-06-15,1465961820,0,93,Neutral
AMZN,2016-06-15,1465961100,0,263,Neutral
AMZN,2016-06-15,1465960560,0,1675,Neutral
AMZN,2016-06-15,1465960080,2,413,Neutral
AMZN,2016-06-15,1465959600,1,701,Negative
AMZN,2016-06-15,1465958040,5,515,Neutral
AMZN,2016-06-15,1465957980,5,1218,Neutral
AMZN,2016-06-15,1465957920,5,1058,Neutral
AMZN,2016-06-15,1465957920,5,476565,Neutral
AMZN,2016-06-15,1465957800,0,96,Neutral
AMZN,2016-06-15,1465957500,0,96,Neutral
AMZN,2016-06-15,1465957140,0,1070,Positive
AMZN,2016-06-15,1465956960,3,16,Negative
AMZN,2016-06-15,1465956780,0,60,Neutral
AMZN,2016-06-15,1465956720,0,133,Neutral
AMZN,2016-06-15,1465955940,4,28142,Neutral
AMZN,2016-06-15,1465955820,1,18,Neutral
