Company,Date,UnixTS,Retweets,Followers,Sentiments
MSFT,2016-06-15,1465993920,0,518,Neutral
MSFT,2016-06-15,1465993860,17,104,Neutral
MSFT,2016-06-15,1465993800,0,99,Neutral
MSFT,2016-06-15,1465993800,0,3698,Neutral
MSFT,2016-06-15,1465993740,0,626,Neutral
MSFT,2016-06-15,1465993620,0,66,Positive
MSFT,2016-06-15,1465993500,6,308,Neutral
MSFT,2016-06-15,1465993500,0,2082,Neutral
MSFT,2016-06-15,1465993320,0,227,Neutral
MSFT,2016-06-15,1465993200,0,4,Neutral
MSFT,2016-06-15,1465993080,0,422,Neutral
MSFT,2016-06-15,1465993080,0,422,Neutral
MSFT,2016-06-15,1465992720,0,4452,Neutral
MSFT,2016-06-15,1465992600,0,10635,Positive
MSFT,2016-06-15,1465992600,199,171,Highly Negative
MSFT,2016-06-15,1465992540,0,638,Neutral
MSFT,2016-06-15,1465992360,0,4588,Neutral
MSFT,2016-06-15,1465992300,25,1294,Neutral
MSFT,2016-06-15,1465992180,0,771,Neutral
MSFT,2016-06-15,1465992000,0,12548,Neutral
MSFT,2016-06-15,1465991340,0,17184,Neutral
MSFT,2016-06-15,1465991220,3,28488,Neutral
MSFT,2016-06-15,1465991220,0,52,Positive
MSFT,2016-06-15,1465990980,0,2,Positive
MSFT,2016-06-15,1465990980,1,438,Positive
MSFT,2016-06-15,1465990920,0,11,Positive
MSFT,2016-06-15,1465990920,0,1493,Neutral
MSFT,2016-06-15,1465990320,1,84,Neutral
MSFT,2016-06-15,1465990920,0,113,Positive
MSFT,2016-06-15,1465990800,0,722,Positive
MSFT,2016-06-15,1465990800,1,26367,Positive
MSFT,2016-06-15,1465990620,1,18486,Neutral
MSFT,2016-06-15,1465990500,3,95,Neutral
MSFT,2016-06-15,1465990380,1,17184,Neutral
MSFT,2016-06-15,1465990200,0,357,Neutral
MSFT,2016-06-15,1465990200,1,3698,Neutral
MSFT,2016-06-15,1465990200,0,3652,Neutral
MSFT,2016-06-15,1465990200,0,1029,Neutral
MSFT,2016-06-15,1465990200,0,807,Neutral
MSFT,2016-06-15,1465990140,3,2404,Negative
MSFT,2016-06-15,1465989420,0,297,Neutral
MSFT,2016-06-15,1465989360,0,297,Neutral
MSFT,2016-06-15,1465989360,0,289,Neutral
MSFT,2016-06-15,1465989300,0,4597,Neutral
MSFT,2016-06-15,1465989000,0,260,Neutral
MSFT,2016-06-15,1465988880,0,87913,Neutral
MSFT,2016-06-15,1465988760,0,4318,Positive
MSFT,2016-06-15,1465988640,3,6657,Neutral
MSFT,2016-06-15,1465988640,1,297,Neutral
MSFT,2016-06-15,1465988580,0,1204,Negative
MSFT,2016-06-15,1465988460,0,638,Neutral
MSFT,2016-06-15,1465988400,0,102,Neutral
MSFT,2016-06-15,1465988280,0,356,Neutral
MSFT,2016-06-15,1465988280,3,1266,Neutral
MSFT,2016-06-15,1465988280,0,3649,Neutral
MSFT,2016-06-15,1465987680,0,197,Neutral
MSFT,2016-06-15,1465986360,0,3502,Neutral
