Company,Date,UnixTS,Retweets,Followers,Sentiments
GOOGL,2016-06-15,1465987380,2,52,Neutral
GOOGL,2016-06-15,1465987320,2,2530,Neutral
GOOGL,2016-06-15,1465987140,0,3177,Neutral
GOOGL,2016-06-15,1465986900,0,806,Neutral
GOOGL,2016-06-15,1465986780,0,4864,Neutral
GOOGL,2016-06-15,1465986660,0,12436,Neutral
GOOGL,2016-06-15,1465984620,0,806,Negative
GOOGL,2016-06-15,1465984080,0,6,Neutral
GOOGL,2016-06-15,1465983840,0,5172,Neutral
GOOGL,2016-06-15,1465983300,0,5622,Neutral
GOOGL,2016-06-15,1465982760,1,1198,Neutral
GOOGL,2016-06-15,1465982640,6,1551,Neutral
GOOGL,2016-06-15,1465982340,1,354,Neutral
GOOGL,2016-06-15,1465981680,0,356,Neutral
GOOGL,2016-06-15,1465981680,1,3699,Neutral
GOOGL,2016-06-15,1465981680,0,21916,Neutral
GOOGL,2016-06-15,1465979940,1,377,Neutral
GOOGL,2016-06-15,1465978740,0,86,Neutral
GOOGL,2016-06-15,1465978440,0,113,Neutral
GOOGL,2016-06-15,1465978380,0,58,Neutral
GOOGL,2016-06-15,1465978320,1,215,Neutral
GOOGL,2016-06-15,1465978020,0,136,Neutral
GOOGL,2016-06-15,1465975680,2,3493,Neutral
GOOGL,2016-06-15,1465974660,0,64,Neutral
GOOGL,2016-06-15,1465973820,0,73,Neutral
GOOGL,2016-06-15,1465971780,0,571,Neutral
GOOGL,2016-06-15,1465967520,0,58,Neutral
GOOGL,2016-06-15,1465968840,1,8030,Positive
GOOGL,2016-06-15,1465968360,1,289,Neutral
GOOGL,2016-06-15,1465968360,1,289,Neutral
GOOGL,2016-06-15,1465965240,0,210,Neutral
GOOGL,2016-06-15,1465964820,0,1399,Neutral
GOOGL,2016-06-15,1465964280,0,1751,Neutral
GOOGL,2016-06-15,1465963920,0,1751,Neutral
GOOGL,2016-06-15,1465963560,0,385,Neutral
GOOGL,2016-06-15,1465963500,1,28196,Neutral
GOOGL,2016-06-15,1465963140,0,1751,Neutral
GOOGL,2016-06-15,1465962600,1,893,Neutral
GOOGL,2016-06-15,1465962120,1,1322,Neutral
GOOGL,2016-06-15,1465962060,0,7442,Neutral
GOOGL,2016-06-15,1465962060,7,1234,Neutral
GOOGL,2016-06-15,1465961940,1,767,Neutral
GOOGL,2016-06-15,1465961700,1,95,Neutral
GOOGL,2016-06-15,1465961640,0,88,Neutral
GOOGL,2016-06-15,1465961340,1,413,Neutral
GOOGL,2016-06-15,1465959780,1,455,Neutral
GOOGL,2016-06-15,1465958280,0,963,Negative
GOOGL,2016-06-15,1465957140,4,127,Neutral
GOOGL,2016-06-15,1465957020,4,224,Neutral
GOOGL,2016-06-15,1465956420,0,64,Neutral
GOOGL,2016-06-15,1465956120,0,210,Negative
GOOGL,2016-06-15,1465956000,1,966,Neutral
GOOGL,2016-06-15,1465955880,1,55,Neutral
